순위,선수명,AVG,팀명,H,HR
1,강백호,0.38,KT,128,13
2,양의지,0.352,NC,108,23
3,이정후,0.348,키움,108,3
4,박건우,0.33,두산,94,3
5,홍창기,0.327,LG,110,4
6,황재균,0.327,KT,86,9
7,강민호,0.318,삼성,92,14
8,정훈,0.312,롯데,104,11
9,페르난데스,0.312,두산,107,11
10,전준우,0.309,롯데,109,4
11,안치홍,0.307,롯데,83,6
12,피렐라,0.298,삼성,119,23
13,손아섭,0.295,롯데,105,1
14,구자욱,0.295,삼성,109,14
15,김선빈,0.293,KIA,97,3
